booking_id,customer_id,returning_customer,customer_age,tour_id,departure_id,tour_name,location,region,tour_type,customer_origin,booking_segment,booking_channel,booking_stage,unit_price_vnd,adults,children,infants,participants,booking_date,travel_start,travel_end,season,weather_condition,status,post_tour_rating,revenue_vnd,total_cost_vnd,profit_vnd
B000019,CUST00011,TRUE,32,T112,T112_PV_Co_240822_000018,Tour Đà Lạt 5N4Đ - Adventure,Đà Lạt,Tây Nguyên,Adventure,Domestic,Corporate,Agent,Early,2380000,15,0,0,15,7/22/2024,8/22/2024,8/26/2024,Summer,Sunny,Completed,4.4,35700000,25650000,10050000
B000020,CUST00017,FALSE,33,T341,T341_SH_Fa_220527_0062,Tour Hội An 3N2Đ - City,Hội An,Bắc Trung Bộ,City,Domestic,Family,OTA,Early,1160000,4,2,0,6,4/21/2022,5/27/2022,5/29/2022,Summer,Sunny,Completed,4.4,6030000,4330000,1700000
B000021,CUST00018,FALSE,26,T011,T011_SH_Gr_230807_0411,Tour Phú Quốc 4N3Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Group,OTA,Normal,2250000,5,0,0,5,7/8/2023,8/7/2023,8/10/2023,Summer,Sunny,Completed,4.6,11250000,8130000,3120000
B000022,CUST00019,FALSE,35,T148,T148_SH_Co_240123_0042,Tour Hà Nội 2N1Đ - City,Hà Nội,Bắc Bộ,City,Domestic,Couple,Website,Normal,880000,2,0,0,2,1/1/2024,1/23/2024,1/24/2024,Winter,Sunny,Completed,4.6,1760000,1280000,480000
B000023,CUST00020,FALSE,46,T013,T013_SH_Fo_231027_0059,Tour Hạ Long 2N1Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Foreign,Foreign,Website,Late,1180000,4,0,0,4,10/18/2023,10/27/2023,10/28/2023,Autumn,Sunny,Completed,3.9,4720000,3110000,1610000
B000024,CUST00017,TRUE,22,T349,T349_SH_So_240905_0208,Tour Cần Thơ 3N2Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Solo,OTA,Normal,1450000,1,0,0,1,8/20/2024,9/5/2024,9/7/2024,Autumn,Rainy,Completed,3.6,1450000,1140000,310000
B000025,CUST00021,FALSE,30,T160,T160_PV_Co_220326_000024,Tour Hội An 2N1Đ - City,Hội An,Bắc Trung Bộ,City,Domestic,Corporate,OTA,Early,880000,26,0,0,26,2/17/2022,3/26/2022,3/27/2022,Spring,Cloudy,Completed,3.5,22880000,15860000,7020000
B000026,CUST00014,TRUE,37,T206,T206_SH_Fa_240327_0139,Tour Hà Giang 4N3Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Family,Website,Normal,1230000,4,3,0,7,3/11/2024,3/27/2024,3/30/2024,Spring,Sunny,Completed,3.7,7130000,5630000,1500000
B000027,CUST00015,TRUE,30,T224,T224_SH_Gr_241222_0172,Tour Mũi Né 8N7Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Group,Agent,Normal,4610000,8,0,0,8,12/4/2024,12/22/2024,12/29/2024,Winter,Sunny,Completed,4.4,36880000,27780000,9100000
B000028,CUST00022,FALSE,40,T253,T253_SH_Co_240718_0157,Tour Sa Pa 3N2Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Couple,Social,Normal,1430000,2,0,0,2,7/5/2024,7/18/2024,7/20/2024,Summer,Rainy,Completed,2.9,2860000,2050000,810000
B000029,CUST00014,TRUE,40,T057,T057_SH_Fo_240920_0168,Tour Nha Trang 3N2Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Foreign,Foreign,Agent,Normal,1260000,4,0,0,4,9/8/2024,9/20/2024,9/22/2024,Autumn,Cloudy,Completed,4.5,5040000,3520000,1520000
B000030,CUST00023,FALSE,23,T331,T331_SH_So_240501_0195,Tour Cần Thơ 3N2Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Solo,OTA,Late,1620000,1,0,0,1,4/24/2024,5/1/2024,5/3/2024,Summer,Sunny,Completed,5,1620000,1140000,480000
B000031,CUST00024,FALSE,45,T050,T050_PV_Co_230922_000030,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Corporate,Website,Early,1740000,12,0,0,12,8/15/2023,9/22/2023,9/24/2023,Autumn,Rainy,Completed,3.2,20880000,16630000,4250000
B000032,CUST00025,FALSE,33,T110,T110_PV_Fa_240927_000031,Tour Vũng Tàu 2N1Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Family,Website,Normal,1390000,8,7,0,15,9/5/2024,9/27/2024,9/28/2024,Autumn,Sunny,Completed,4.8,16960000,11970000,4990000
B000033,CUST00026,FALSE,22,T143,T143_SH_Gr_240119_0042,Tour Đà Nẵng 7N6Đ - City,Đà Nẵng,Nam Trung Bộ,City,Domestic,Group,Agent,Normal,2770000,6,0,0,6,12/29/2023,1/19/2024,1/25/2024,Winter,Sunny,Completed,4,16620000,12700000,3920000
B000034,CUST00027,FALSE,37,T061,T061_SH_Co_230207_0384,Tour Ninh Bình 4N3Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Domestic,Couple,Hotline,Normal,2010000,2,0,0,2,1/21/2023,2/7/2023,2/10/2023,Spring,Sunny,Completed,4.4,4020000,2870000,1150000
B000035,CUST00028,FALSE,57,T251,T251_SH_Fo_240523_0122,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Foreign,Foreign,Website,Normal,1270000,3,0,0,3,5/16/2024,5/23/2024,5/25/2024,Summer,Cloudy,Completed,3.6,3810000,2760000,1050000
B000036,CUST00029,FALSE,32,T229,T229_SH_So_230403_0063,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Solo,OTA,Normal,1750000,1,0,0,1,3/22/2023,4/3/2023,4/5/2023,Spring,Sunny,Completed,4.1,1750000,1400000,350000
B000037,CUST00030,FALSE,27,T134,T134_PV_Co_240917_000036,Tour Bến Tre 3N2Đ - River,Bến Tre,Nam Bộ,River,Domestic,Corporate,OTA,Early,1290000,24,0,0,24,8/12/2024,9/17/2024,9/19/2024,Autumn,Rainy,Completed,3.8,30960000,23210000,7750000
B000038,CUST00031,FALSE,38,T230,T230_SH_Fa_240501_0259,Tour Đà Nẵng 3N2Đ - City,Đà Nẵng,Nam Trung Bộ,City,Domestic,Family,Website,Normal,1680000,2,1,0,3,4/6/2024,5/1/2024,5/3/2024,Summer,Sunny,Completed,4.1,4370000,3250000,1120000
B000039,CUST00032,FALSE,21,T119,T119_SH_Gr_240208_0415,Tour Cần Thơ 3N2Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Group,Website,Normal,1690000,5,0,0,5,1/20/2024,2/8/2024,2/10/2024,Spring,Rainy,Completed,3.4,8450000,6610000,1840000
B000040,CUST00021,TRUE,28,T296,T296_SH_Co_240830_0006,Tour Mũi Né 2N1Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Couple,Hotline,Normal,1260000,2,0,0,2,8/18/2024,8/30/2024,8/31/2024,Summer,Cloudy,Completed,3.9,2520000,1680000,840000
B000041,CUST00033,FALSE,34,T167,T167_SH_Fo_221105_0061,Tour Đà Lạt 2N1Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Foreign,Foreign,Website,Normal,680000,2,0,0,2,10/23/2022,11/5/2022,11/6/2022,Winter,Cloudy,Completed,4.4,1360000,890000,470000
B000042,CUST00034,FALSE,30,T024,T024_SH_So_231115_0103,Tour Hà Nội 3N2Đ - City,Hà Nội,Bắc Bộ,City,Domestic,Solo,Website,Late,1180000,1,0,0,1,11/6/2023,11/15/2023,11/17/2023,Winter,Sunny,Completed,3.9,1180000,850000,330000
B000043,CUST00035,FALSE,37,T072,T072_PV_Co_240330_000042,Tour Đà Lạt 4N3Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Corporate,Website,Normal,1340000,26,0,0,26,3/11/2024,3/30/2024,4/2/2024,Spring,Sunny,Completed,3.9,34840000,25970000,8870000
B000044,CUST00036,FALSE,42,T015,T015_SH_Fa_241021_0054,Tour TP.HCM 6N5Đ - City,TP.HCM,Nam Bộ,City,Domestic,Family,Website,Early,2490000,3,2,0,5,9/14/2024,10/21/2024,10/26/2024,Autumn,Rainy,Cancelled,,0,0,0
B000045,CUST00012,TRUE,26,T344,T344_SH_Gr_230219_0300,Tour Cần Thơ 2N1Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Group,OTA,Early,760000,11,0,0,11,1/18/2023,2/19/2023,2/20/2023,Spring,Sunny,Completed,4.6,8360000,6230000,2130000
B000046,CUST00037,FALSE,26,T325,T325_SH_Co_240131_0215,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Couple,OTA,Normal,1470000,2,0,0,2,1/12/2024,1/31/2024,2/2/2024,Winter,Sunny,Completed,4,2940000,2180000,760000
B000047,CUST00038,FALSE,34,T166,T166_SH_Fo_231125_0094,Tour Đà Lạt 1N1Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Foreign,Foreign,OTA,Normal,500000,3,0,0,3,11/16/2023,11/25/2023,11/25/2023,Winter,Cloudy,Completed,3.5,1500000,1090000,410000
B000048,CUST00032,TRUE,23,T344,T344_SH_So_241214_0158,Tour Cần Thơ 2N1Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Solo,Hotline,Normal,800000,1,0,0,1,12/1/2024,12/14/2024,12/15/2024,Winter,Sunny,Completed,4,800000,570000,230000
B000049,CUST00039,FALSE,26,T259,T259_PV_Co_240312_000048,Tour Huế 2N1Đ - Cultural,Huế,Bắc Trung Bộ,Cultural,Domestic,Corporate,Agent,Normal,750000,17,0,0,17,2/10/2024,3/12/2024,3/13/2024,Spring,Sunny,Cancelled,,0,0,0
B000050,CUST00040,FALSE,48,T004,T004_SH_Fa_230527_0141,Tour Sa Pa 2N1Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Family,OTA,Early,1060000,3,1,0,4,4/26/2023,5/27/2023,5/28/2023,Summer,Cloudy,Completed,4.4,3820000,2550000,1270000
B000051,CUST00041,FALSE,24,T268,T268_SH_Gr_240223_0205,Tour Đà Lạt 4N3Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Group,Hotline,Normal,1440000,8,0,0,8,1/24/2024,2/23/2024,2/26/2024,Spring,Cloudy,Completed,4.7,11520000,7800000,3720000
B000052,CUST00042,FALSE,27,T350,T350_SH_Co_221222_0075,Tour Đà Lạt 4N3Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Couple,Social,Normal,1980000,2,0,0,2,12/1/2022,12/22/2022,12/25/2022,Winter,Sunny,Completed,4,3960000,2710000,1250000
B000053,CUST00043,FALSE,30,T190,T190_SH_Fo_240901_0182,Tour Nha Trang 3N2Đ - City,Nha Trang,Nam Trung Bộ,City,Foreign,Foreign,Website,Normal,1410000,3,0,0,3,8/16/2024,9/1/2024,9/3/2024,Autumn,Sunny,Completed,4.8,4230000,2750000,1480000
B000054,CUST00044,FALSE,24,T014,T014_SH_So_221210_0167,Tour Nha Trang 4N3Đ - City,Nha Trang,Nam Trung Bộ,City,Domestic,Solo,Website,Normal,2210000,1,0,0,1,12/1/2022,12/10/2022,12/13/2022,Winter,Sunny,Completed,4.7,2210000,1530000,680000
B000055,CUST00045,FALSE,36,T186,T186_PV_Co_230928_000054,Tour Nha Trang 2N1Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Domestic,Corporate,Social,Early,1090000,12,0,0,12,8/29/2023,9/28/2023,9/29/2023,Autumn,Cloudy,Completed,4.5,13080000,9330000,3750000
B000056,CUST00046,FALSE,46,T016,T016_SH_Fa_240222_0028,Tour Cần Thơ 6N5Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Family,OTA,Early,3190000,5,3,0,8,1/24/2024,2/22/2024,2/27/2024,Spring,Cloudy,Cancelled,,0,0,0
B000057,CUST00047,FALSE,30,T005,T005_SH_Gr_230507_0366,Tour Hội An 4N3Đ - Cultural,Hội An,Bắc Trung Bộ,Cultural,Domestic,Group,Agent,Normal,1780000,7,0,0,7,4/22/2023,5/7/2023,5/10/2023,Summer,Cloudy,Completed,4.6,12460000,8380000,4080000
B000058,CUST00048,FALSE,30,T126,T126_SH_Co_230625_0084,Tour Hạ Long 3N2Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Domestic,Couple,Website,Normal,2020000,2,0,0,2,6/1/2023,6/25/2023,6/27/2023,Summer,Sunny,Completed,4,4040000,2840000,1200000
B000059,CUST00049,FALSE,59,T224,T224_SH_Fo_230217_0202,Tour Mũi Né 8N7Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Foreign,Foreign,OTA,Normal,4260000,4,0,0,4,2/1/2023,2/17/2023,2/24/2023,Spring,Cloudy,Completed,4.1,17040000,11690000,5350000
B000060,CUST00036,TRUE,34,T075,T075_SH_So_240124_0135,Tour Cần Thơ 2N1Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Solo,OTA,Normal,940000,1,0,0,1,1/14/2024,1/24/2024,1/25/2024,Winter,Sunny,Completed,3.8,940000,750000,190000
B000061,CUST00030,TRUE,40,T045,T045_PV_Co_241130_000060,Tour Quảng Bình 2N1Đ - Cultural,Quảng Bình,Bắc Trung Bộ,Cultural,Domestic,Corporate,OTA,Early,800000,14,0,0,14,10/22/2024,11/30/2024,12/1/2024,Winter,Storm,Completed,4.2,11200000,8150000,3050000
B000062,CUST00050,FALSE,48,T212,T212_SH_Fa_241202_0232,Tour Ninh Bình 2N1Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Domestic,Family,Website,Early,1110000,4,2,0,6,10/25/2024,12/2/2024,12/3/2024,Winter,Sunny,Completed,4,5770000,4100000,1670000
B000063,CUST00051,FALSE,27,T330,T330_SH_Gr_230707_0093,Tour Nha Trang 3N2Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Domestic,Group,Agent,Normal,1760000,5,0,0,5,6/22/2023,7/7/2023,7/9/2023,Summer,Cloudy,Completed,3.8,8800000,5890000,2910000
B000064,CUST00052,FALSE,29,T325,T325_SH_Co_230415_0241,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Couple,Agent,Early,1150000,2,0,0,2,3/15/2023,4/15/2023,4/17/2023,Spring,Cloudy,Completed,4.6,2300000,1610000,690000
B000065,CUST00053,FALSE,48,T037,T037_SH_Fo_231226_0105,Tour Hà Giang 6N5Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Foreign,Foreign,OTA,Normal,3030000,4,0,0,4,12/16/2023,12/26/2023,12/31/2023,Winter,Cloudy,Completed,4.3,12120000,9160000,2960000
B000066,CUST00054,FALSE,35,T206,T206_SH_So_220122_0199,Tour Hà Giang 4N3Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Solo,OTA,Normal,1510000,1,0,0,1,1/7/2022,1/22/2022,1/25/2022,Winter,Cloudy,Completed,4.6,1510000,1180000,330000
B000067,CUST00055,FALSE,40,T044,T044_PV_Co_230921_000066,Tour Hội An 4N3Đ - City,Hội An,Bắc Trung Bộ,City,Domestic,Corporate,Agent,Early,1630000,21,0,0,21,8/21/2023,9/21/2023,9/24/2023,Autumn,Cloudy,Completed,4.4,34230000,22790000,11440000
B000068,CUST00056,FALSE,43,T067,T067_SH_Fa_231007_0071,Tour TP.HCM 4N3Đ - City,TP.HCM,Nam Bộ,City,Domestic,Family,Agent,Early,1910000,5,3,0,8,9/6/2023,10/7/2023,10/10/2023,Autumn,Sunny,Completed,4.2,12990000,9570000,3420000
B000069,CUST00057,FALSE,29,T042,T042_SH_Gr_230524_0365,Tour Hạ Long 2N1Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Domestic,Group,Website,Early,1110000,9,0,0,9,4/25/2023,5/24/2023,5/25/2023,Summer,Sunny,Completed,5,9990000,6940000,3050000
B000070,CUST00008,TRUE,40,T275,T275_SH_Co_231226_0029,Tour Cần Thơ 4N3Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Couple,Website,Normal,1850000,2,0,0,2,12/5/2023,12/26/2023,12/29/2023,Winter,Cloudy,Completed,4.2,3700000,2630000,1070000
B000071,CUST00043,TRUE,53,T108,T108_SH_Fo_240721_0007,Tour Mũi Né 3N2Đ - Cultural,Mũi Né,Nam Trung Bộ,Cultural,Foreign,Foreign,Hotline,Late,1900000,4,0,0,4,7/12/2024,7/21/2024,7/23/2024,Summer,Sunny,Completed,5,7600000,5390000,2210000
B000072,CUST00014,TRUE,28,T244,T244_SH_So_240904_0071,Tour Vũng Tàu 4N3Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Solo,Website,Normal,2490000,1,0,0,1,8/22/2024,9/4/2024,9/7/2024,Autumn,Sunny,Completed,5,2490000,1800000,690000
B000073,CUST00058,FALSE,40,T239,T239_PV_Co_231226_000072,Tour Phú Quốc 4N3Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Corporate,Website,Normal,1880000,27,0,0,27,12/6/2023,12/26/2023,12/29/2023,Winter,Sunny,Completed,3.7,50760000,40820000,9940000
B000074,CUST00059,FALSE,55,T297,T297_SH_Fa_230530_0231,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Family,Agent,Early,1830000,5,3,0,8,4/23/2023,5/30/2023,6/1/2023,Summer,Cloudy,Completed,4.2,12440000,8860000,3580000
B000075,CUST00060,FALSE,31,T099,T099_SH_Gr_241202_0061,Tour Mũi Né 2N1Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Group,OTA,Normal,1290000,7,0,0,7,11/10/2024,12/2/2024,12/3/2024,Winter,Sunny,Completed,4.6,9030000,6420000,2610000
B000076,CUST00061,FALSE,37,T196,T196_SH_Co_240501_0216,Tour Bến Tre 3N2Đ - River,Bến Tre,Nam Bộ,River,Domestic,Couple,OTA,Early,1740000,2,0,0,2,3/27/2024,5/1/2024,5/3/2024,Summer,Sunny,Completed,4.2,3480000,2430000,1050000
B000077,CUST00062,FALSE,54,T160,T160_SH_Fo_220716_0218,Tour Hội An 2N1Đ - City,Hội An,Bắc Trung Bộ,City,Foreign,Foreign,Social,Normal,840000,3,0,0,3,7/5/2022,7/16/2022,7/17/2022,Summer,Rainy,Completed,3.6,2520000,1860000,660000
B000078,CUST00042,TRUE,35,T169,T169_SH_So_240609_0051,Tour Mũi Né 3N2Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Solo,OTA,Normal,1540000,1,0,0,1,5/23/2024,6/9/2024,6/11/2024,Summer,Sunny,Cancelled,,0,0,0
B000079,CUST00063,FALSE,35,T326,T326_PV_Co_230615_000078,Tour Sa Pa 2N1Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Corporate,Agent,Early,1110000,25,0,0,25,5/14/2023,6/15/2023,6/16/2023,Summer,Cloudy,Completed,4.3,27750000,19510000,8240000
B000080,CUST00043,TRUE,45,T123,T123_SH_Fa_240218_0239,Tour Bến Tre 4N3Đ - Cultural,Bến Tre,Nam Bộ,Cultural,Domestic,Family,Website,Normal,1850000,4,3,0,7,2/2/2024,2/18/2024,2/21/2024,Spring,Sunny,Completed,4,10730000,7370000,3360000
B000081,CUST00057,TRUE,24,T208,T208_SH_Gr_221026_0472,Tour Đà Nẵng 4N3Đ - Cultural,Đà Nẵng,Nam Trung Bộ,Cultural,Domestic,Group,Website,Normal,1590000,7,0,0,7,10/1/2022,10/26/2022,10/29/2022,Autumn,Cloudy,Completed,4.4,11130000,8220000,2910000
B000082,CUST00064,FALSE,33,T347,T347_SH_Co_220917_0108,Tour Hà Giang 3N2Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Couple,Social,Normal,1100000,2,0,0,2,8/31/2022,9/17/2022,9/19/2022,Autumn,Rainy,Completed,3.4,2200000,1750000,450000
B000083,CUST00065,FALSE,35,T357,T357_SH_Fo_240921_0147,Tour Nha Trang 2N1Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Foreign,Foreign,Website,Normal,1230000,2,0,0,2,9/2/2024,9/21/2024,9/22/2024,Autumn,Cloudy,Completed,4.4,2460000,1870000,590000
B000084,CUST00066,FALSE,29,T314,T314_SH_So_240912_0081,Tour Hà Giang 2N1Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Solo,Hotline,Late,820000,1,0,0,1,9/8/2024,9/12/2024,9/13/2024,Autumn,Rainy,Completed,3.7,820000,620000,200000
B000085,CUST00044,TRUE,30,T354,T354_PV_Co_240502_000084,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Corporate,Agent,Early,1710000,21,0,0,21,3/19/2024,5/2/2024,5/4/2024,Summer,Sunny,Completed,4.4,35910000,24970000,10940000
B000086,CUST00067,FALSE,30,T200,T200_SH_Fa_240227_0121,Tour Bến Tre 1N1Đ - River,Bến Tre,Nam Bộ,River,Domestic,Family,Website,Early,500000,2,2,0,4,1/19/2024,2/27/2024,2/27/2024,Spring,Sunny,Completed,4.7,1600000,1120000,480000
B000087,CUST00068,FALSE,24,T007,T007_SH_Gr_230810_0468,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Group,Website,Normal,960000,12,0,0,12,7/29/2023,8/10/2023,8/12/2023,Summer,Sunny,Completed,4.6,11520000,8480000,3040000
B000088,CUST00042,TRUE,29,T259,T259_SH_Co_241130_0076,Tour Huế 2N1Đ - Cultural,Huế,Bắc Trung Bộ,Cultural,Domestic,Couple,Social,Normal,1050000,2,0,0,2,11/9/2024,11/30/2024,12/1/2024,Winter,Rainy,Completed,3.9,2100000,1400000,700000
